lang,topic,topic_in_English
en,Consortium (video game),Consortium (video game)
en,Links LS 1997,Links LS 1997
en,Aliens Adventure Game,Aliens Adventure Game
fr,Aliens (jeu de rôle),Aliens Adventure Game
en,Vampyr (video game),Vampyr (video game)
ru,Vampyr (игра),Vampyr (video game)
fr,Vampyr (jeu vidéo),Vampyr (video game)
it,Vampyr (videogioco),Vampyr (video game)
de,Vampyr (Computerspiel),Vampyr (video game)
zh,吸血鬼 (遊戲),Vampyr (video game)
es,Vampyr (videojuego),Vampyr (video game)
pt,Vampyr (jogo eletrônico),Vampyr (video game)
pl,Vampyr (gra komputerowa),Vampyr (video game)
ja,Vampyr - ヴァンパイア,Vampyr (video game)
uk,Vampyr (відеогра),Vampyr (video game)
mk,Vampyr (игра),Vampyr (video game)
fi,Vampyr,Vampyr (video game)
ko,뱀파이어 (비디오 게임),Vampyr (video game)
ro,Vampyr (joc video),Vampyr (video game)
ca,Vampyr (videojoc),Vampyr (video game)
arz,ڤامپاير (ڤيديو جيم),Vampyr (video game)
en,Cue Ball Wizard,Cue Ball Wizard
en,Kameo,Kameo
es,Kameo: Elements of Power,Kameo
fr,Kameo: Elements of Power,Kameo
ja,カメオ:エレメンツ オブ パワー,Kameo
it,Kameo: Elements of Power,Kameo
pt,Kameo,Kameo
fi,Kameo: Elements of Power,Kameo
pl,Kameo: Elements of Power,Kameo
no,Kameo (videospill),Kameo
lld,Kameo,Kameo
en,Headlander,Headlander
en,Piecepack,Piecepack
pt,Piecepack,Piecepack
en,Cross-platform play,Cross-platform play
es,Juego cruzado entre plataformas,Cross-platform play
ru,Cross-platform play,Cross-platform play
de,Crossplay,Cross-platform play
ja,クロスプレイ (コンピュータゲーム),Cross-platform play
it,Cross-platform (videogiochi),Cross-platform play
pt,Jogabilidade multiplataforma,Cross-platform play
cs,Multiplatformní hraní,Cross-platform play
zh,跨平台游戏,Cross-platform play
pl,Rozgrywka międzyplatformowa,Cross-platform play
tr,Çapraz platform oyunu,Cross-platform play
ko,크로스 플랫폼 플레이,Cross-platform play
zh-yue,跨平台遊戲,Cross-platform play
en,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War III"
ru,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War III"
de,Warhammer 40.000: Dawn of War III,"Warhammer 40,000: Dawn of War III"
